lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,20,211.098008,4461
0,0,0.0,16,147.323691,4492
0,0,0.0,21,171.629761,5327
0,0,0.0,20,181.551409,5507
0,0,0.0,19,158.861266,4997
0,0,0.0,22,202.257715,6097
0,0,0.0,22,176.165476,5383
0,0,0.0,17,161.063744,5073
0,0,0.0,21,205.978105,6111
0,0,0.0,19,169.109089,5188
0,0,0.0,20,196.196634,5578
0,0,0.0,24,210.027682,5996
0,0,0.0,22,201.827551,5884
0,0,0.0,17,126.76145,3980
0,0,0.0,26,219.147415,6468
0,0,0.0,13,75.802423,2443
0,0,0.0,28,235.615671,6939
0,0,0.0,21,173.899153,5254
0,0,0.0,26,212.35119,6231
0,0,0.0,28,243.091268,6846
0,0,0.0,25,241.42981,6983
0,0,0.0,25,213.157316,6245
0,0,0.0,26,253.747275,7349
0,0,0.0,25,245.842313,7028
0,0,0.0,25,184.768272,5532
0,0,0.0,19,191.961913,5639
0,0,0.0,23,207.625295,6059
0,0,0.0,21,189.838494,5566
0,0,0.0,26,222.251469,6397
0,0,0.0,21,198.79253,5802
